Time,LUX
80.01,188.93
80.21,206.90
80.41,260.81
80.61,259.89
80.81,260.81
81.01,259.89
81.21,259.43
81.41,259.43
81.61,259.43
81.81,259.89
82.01,259.89
82.21,228.10
82.41,187.55
82.61,187.55
82.81,187.55
83.01,187.55
83.21,188.93
83.41,188.93
83.61,187.55
83.81,187.55
84.01,187.55
84.21,230.40
84.41,258.97
84.61,258.97
84.81,259.43
85.01,258.97
85.21,253.44
85.41,252.98
85.61,252.52
85.81,252.06
86.01,252.98
86.21,199.99
86.41,181.09
86.61,181.09
86.81,181.56
87.01,182.02
87.21,182.02
87.41,186.62
87.61,187.08
87.81,187.08
88.01,186.62
88.21,250.21
88.41,258.05
88.61,257.59
88.81,258.05
89.01,260.35
89.21,262.66
89.41,262.66
89.61,264.50
89.81,264.96
90.01,262.20
90.21,258.97
90.41,189.85
90.61,189.39
90.81,188.93
91.01,188.47
91.21,188.01
91.41,187.55
91.61,187.55
91.81,187.08
92.01,185.70
92.21,201.37
92.41,256.67
92.61,256.67
92.81,257.59
93.01,257.59
93.21,257.59
93.41,256.67
