Time,LUX
80.01,0.92
80.20,28.11
80.40,60.83
80.61,60.83
80.80,60.83
81.00,60.83
81.20,60.83
81.40,60.83
81.60,60.83
81.80,60.83
82.00,60.83
82.20,23.50
82.40,0.92
82.60,0.92
82.80,0.92
83.00,0.92
83.20,0.92
83.40,0.92
83.60,0.92
